"","Site","Ecoregion","Source","Family","Block","Tree","Condition","Height","Distance","ElevDist","eFFP","MSP","Slope","Aspect","Hardiness","DD.5.sp","Year"
"44","SF","KLMT","BK","BK2","1","2","1","36","259.343641198286","154.3393761","2668","172","50.804192481","7.4","42","1852","12"
"45","SF","KLMT","BK","BK2","1","3","1","43","259.343641198286","154.3393761","2668","172","50.804192481","7.4","42","1852","12"
"46","SF","KLMT","BK","BK2","1","4","1","56","259.343641198286","154.3393761","2668","172","50.804192481","7.4","42","1852","12"
"47","SF","KLMT","BK","BK2","1","5","1","39","259.343641198286","154.3393761","2668","172","50.804192481","7.4","42","1852","12"
"48","SF","KLMT","BK","BK3","1","1","1","41","256.490336422286","-136.827832","2233","119","59.504192481","8.8","41","1813","12"
"49","SF","KLMT","BK","BK3","1","2","1","41","256.490336422286","-136.827832","2233","119","59.504192481","8.8","41","1813","12"
"50","SF","KLMT","BK","BK3","1","3","1","22","256.490336422286","-136.827832","2233","119","59.504192481","8.8","41","1813","12"
"51","SF","KLMT","BK","BK3","1","4","1","40","256.490336422286","-136.827832","2233","119","59.504192481","8.8","41","1813","12"
"52","SF","KLMT","BK","BK3","1","5","1","42","256.490336422286","-136.827832","2233","119","59.504192481","8.8","41","1813","12"
"53","SF","KLMT","BK","BK5","1","1","1","42","259.574416164477","149.3068958","2706","176","50.304192481","7.4","43","1852","12"
"54","SF","KLMT","BK","BK5","1","2","1","46","259.574416164477","149.3068958","2706","176","50.304192481","7.4","43","1852","12"
"55","SF","KLMT","BK","BK5","1","3","1","37","259.574416164477","149.3068958","2706","176","50.304192481","7.4","43","1852","12"
"56","SF","KLMT","BK","BK5","1","4","1","38","259.574416164477","149.3068958","2706","176","50.304192481","7.4","43","1852","12"
"57","SF","KLMT","BK","BK5","1","5","1","34","259.574416164477","149.3068958","2706","176","50.304192481","7.4","43","1852","12"
"58","SF","CSCO","BL","BL1","1","1","1","35","589.856305395344","51.4384496","747","-141","437.704192481","22.5","41","1534","12"
"59","SF","CSCO","BL","BL1","1","2","1","22","589.856305395344","51.4384496","747","-141","437.704192481","22.5","41","1534","12"
"60","SF","CSCO","BL","BL1","1","3","4","34","589.856305395344","51.4384496","747","-141","437.704192481","22.5","41","1534","12"
"61","SF","CSCO","BL","BL1","1","4","1","34","589.856305395344","51.4384496","747","-141","437.704192481","22.5","41","1534","12"
"62","SF","CSCO","BL","BL1","1","5","1","31","589.856305395344","51.4384496","747","-141","437.704192481","22.5","41","1534","12"
"63","SF","CSCO","BL","BL2","1","1","1","48","588.326084274415","65.5056098","765","-140","431.404192481","22.2","42","1534","12"
"64","SF","CSCO","BL","BL2","1","2","1","37","588.326084274415","65.5056098","765","-140","431.404192481","22.2","42","1534","12"
"65","SF","CSCO","BL","BL3","1","1","1","51","588.286787312754","70.3194828","767","-140","431.004192481","22.1","42","1534","12"
"66","SF","CSCO","BL","BL3","1","2","4","20","588.286787312754","70.3194828","767","-140","431.004192481","22.1","42","1534","12"
"67","SF","CSCO","BL","BL3","1","3","1","42","588.286787312754","70.3194828","767","-140","431.004192481","22.1","42","1534","12"
"68","SF","CSCO","BL","BL3","1","4","1","35","588.286787312754","70.3194828","767","-140","431.004192481","22.1","42","1534","12"
"69","SF","CSCO","BL","BL3","1","5","1","51","588.286787312754","70.3194828","767","-140","431.004192481","22.1","42","1534","12"
"70","SF","PULO","BR","BR3","1","1","1","27","350.039690712452","-321.41829086","991","-6","98.304192481","16.2","69","2188","12"
"71","SF","PULO","BR","BR3","1","2","1","29","350.039690712452","-321.41829086","991","-6","98.304192481","16.2","69","2188","12"
"72","SF","PULO","BR","BR3","1","3","1","29","350.039690712452","-321.41829086","991","-6","98.304192481","16.2","69","2188","12"
"73","SF","PULO","BR","BR3","1","4","1","43","350.039690712452","-321.41829086","991","-6","98.304192481","16.2","69","2188","12"
"74","SF","PULO","BR","BR3","1","5","1","45","350.039690712452","-321.41829086","991","-6","98.304192481","16.2","69","2188","12"
"75","SF","PULO","BR","BR7","1","1","4","49","350.019170128736","-330.2135055","993","-6","98.304192481","16.2","68","2184","12"
"76","SF","PULO","BR","BR7","1","2","1","39","350.019170128736","-330.2135055","993","-6","98.304192481","16.2","68","2184","12"
"77","SF","PULO","BR","BR7","1","3","1","34","350.019170128736","-330.2135055","993","-6","98.304192481","16.2","68","2184","12"
"78","SF","PULO","BR","BR7","1","4","1","31","350.019170128736","-330.2135055","993","-6","98.304192481","16.2","68","2184","12"
"79","SF","PULO","BR","BR7","1","5","1","31","350.019170128736","-330.2135055","993","-6","98.304192481","16.2","68","2184","12"
"80","SF","CSCO","CA","CA3","1","1","1","46","653.430861496825","-216.25258","713","-152","545.204192481","24.3","25","1141","12"
"81","SF","CSCO","CA","CA3","1","2","1","25","653.430861496825","-216.25258","713","-152","545.204192481","24.3","25","1141","12"
"82","SF","CSCO","CA","CA3","1","3","1","30","653.430861496825","-216.25258","713","-152","545.204192481","24.3","25","1141","12"
"83","SF","CSCO","CA","CA3","1","4","1","24","653.430861496825","-216.25258","713","-152","545.204192481","24.3","25","1141","12"
"84","SF","CSCO","CA","CA3","1","5","1","37","653.430861496825","-216.25258","713","-152","545.204192481","24.3","25","1141","12"
"85","SF","CSCO","CA","CA4","1","1","1","50","653.431165818058","-213.7698006","714","-152","544.604192481","24.3","25","1141","12"
"86","SF","CSCO","CA","CA4","1","2","4","31","653.431165818058","-213.7698006","714","-152","544.604192481","24.3","25","1141","12"
"87","SF","CSCO","CA","CA4","1","3","1","40","653.431165818058","-213.7698006","714","-152","544.604192481","24.3","25","1141","12"
"88","SF","CSCO","CA","CA4","1","4","1","23","653.431165818058","-213.7698006","714","-152","544.604192481","24.3","25","1141","12"
"89","SF","CSCO","CA","CA4","1","5","4","40","653.431165818058","-213.7698006","714","-152","544.604192481","24.3","25","1141","12"
"90","SF","PULO","CB","CB1","1","1","1","50","471.805453360226","-319.11447092","620","31","76.504192481","21.7","80","2431","12"
"91","SF","PULO","CB","CB1","1","2","1","36","471.805453360226","-319.11447092","620","31","76.504192481","21.7","80","2431","12"
"92","SF","PULO","CB","CB1","1","3","1","23","471.805453360226","-319.11447092","620","31","76.504192481","21.7","80","2431","12"
"93","SF","PULO","CB","CB1","1","4","1","53","471.805453360226","-319.11447092","620","31","76.504192481","21.7","80","2431","12"
"94","SF","PULO","CB","CB1","1","5","1","36","471.805453360226","-319.11447092","620","31","76.504192481","21.7","80","2431","12"
"95","SF","CSCO","CC","CC2","1","1","1","46","721.280903035172","-330.81332702","424","-168","728.404192481","32.9","20","1139","12"
"96","SF","CSCO","CC","CC2","1","2","1","46","721.280903035172","-330.81332702","424","-168","728.404192481","32.9","20","1139","12"
"97","SF","CSCO","CC","CC2","1","3","1","40","721.280903035172","-330.81332702","424","-168","728.404192481","32.9","20","1139","12"
"98","SF","CSCO","CC","CC2","1","4","1","59","721.280903035172","-330.81332702","424","-168","728.404192481","32.9","20","1139","12"
"99","SF","CSCO","CC","CC2","1","5","1","32","721.280903035172","-330.81332702","424","-168","728.404192481","32.9","20","1139","12"
"100","SF","CSCO","CC","CC4","1","1","1","36","721.239722092107","-339.5615504","428","-167","725.004192481","32.7","20","1139","12"
"101","SF","CSCO","CC","CC4","1","2","1","36","721.239722092107","-339.5615504","428","-167","725.004192481","32.7","20","1139","12"
"102","SF","CSCO","CC","CC4","1","3","1","46","721.239722092107","-339.5615504","428","-167","725.004192481","32.7","20","1139","12"
"103","SF","CSCO","CC","CC4","1","4","1","48","721.239722092107","-339.5615504","428","-167","725.004192481","32.7","20","1139","12"
"104","SF","CSCO","CC","CC4","1","5","1","27","721.239722092107","-339.5615504","428","-167","725.004192481","32.7","20","1139","12"
"105","SF","CSCO","CC","CC7","1","1","1","34","721.205552304393","-346.03326598","415","-168","738.004192481","33.3","20","1138","12"
"106","SF","CSCO","CC","CC7","1","2","1","35","721.205552304393","-346.03326598","415","-168","738.004192481","33.3","20","1138","12"
"107","SF","CSCO","CC","CC7","1","3","1","37","721.205552304393","-346.03326598","415","-168","738.004192481","33.3","20","1138","12"
"108","SF","CSCO","CC","CC7","1","4","1","39","721.205552304393","-346.03326598","415","-168","738.004192481","33.3","20","1138","12"
"109","SF","CSCO","CC","CC7","1","5","1","17","721.205552304393","-346.03326598","415","-168","738.004192481","33.3","20","1138","12"
"110","SF","PULO","CL","CL1","1","1","1","35","400.727980323111","-324.50227859","575","18","82.504192481","23.3","69","2290","12"
"111","SF","PULO","CL","CL1","1","2","1","50","400.727980323111","-324.50227859","575","18","82.504192481","23.3","69","2290","12"
"112","SF","PULO","CL","CL1","1","3","4","41","400.727980323111","-324.50227859","575","18","82.504192481","23.3","69","2290","12"
"113","SF","PULO","CL","CL1","1","4","4","31","400.727980323111","-324.50227859","575","18","82.504192481","23.3","69","2290","12"
"114","SF","PULO","CL","CL1","1","5","1","30","400.727980323111","-324.50227859","575","18","82.504192481","23.3","69","2290","12"
"115","SF","KLMT","CP","CP24","1","1","1","29","235.838418952508","380.9526031","1163","-52","146.004192481","14.6","76","2166","12"
"116","SF","KLMT","CP","CP24","1","2","1","42","235.838418952508","380.9526031","1163","-52","146.004192481","14.6","76","2166","12"
"117","SF","KLMT","CP","CP24","1","3","4","45","235.838418952508","380.9526031","1163","-52","146.004192481","14.6","76","2166","12"
"118","SF","KLMT","CP","CP24","1","4","1","42","235.838418952508","380.9526031","1163","-52","146.004192481","14.6","76","2166","12"
"119","SF","KLMT","CP","CP24","1","5","1","38","235.838418952508","380.9526031","1163","-52","146.004192481","14.6","76","2166","12"
"120","SF","KLMT","CP","CP26","1","1","1","45","255.4411189351","337.0908071","313","-85","192.404192481","33.2","108","2379","12"
"121","SF","KLMT","CP","CP26","1","2","1","51","255.4411189351","337.0908071","313","-85","192.404192481","33.2","108","2379","12"
"122","SF","KLMT","CP","CP26","1","3","1","49","255.4411189351","337.0908071","313","-85","192.404192481","33.2","108","2379","12"
"123","SF","KLMT","CP","CP26","1","4","1","27","255.4411189351","337.0908071","313","-85","192.404192481","33.2","108","2379","12"
"124","SF","KLMT","CP","CP26","1","5","1","25","255.4411189351","337.0908071","313","-85","192.404192481","33.2","108","2379","12"
"125","SF","KLMT","CP","CP9","1","3","1","47","247.000688401489","457.6508127","342","-82","183.204192481","31","125","2524","12"
"126","SF","KLMT","CP","CP9","1","5","1","35","247.000688401489","457.6508127","342","-82","183.204192481","31","125","2524","12"
"127","SF","PULO","CR","CR2","1","1","1","50","184.769278549705","-254.5398942","826","34","80.104192481","18.4","73","2233","12"
"128","SF","PULO","CR","CR2","1","2","1","30","184.769278549705","-254.5398942","826","34","80.104192481","18.4","73","2233","12"
"129","SF","PULO","CR","CR2","1","3","4","30","184.769278549705","-254.5398942","826","34","80.104192481","18.4","73","2233","12"
"130","SF","PULO","CR","CR2","1","4","1","35","184.769278549705","-254.5398942","826","34","80.104192481","18.4","73","2233","12"
"131","SF","PULO","CR","CR2","1","5","1","24","184.769278549705","-254.5398942","826","34","80.104192481","18.4","73","2233","12"
"132","SF","PULO","CR","CR3","1","1","1","37","184.769278549705","-254.5398942","826","34","80.104192481","18.4","73","2233","12"
"133","SF","PULO","CR","CR3","1","2","1","40","184.769278549705","-254.5398942","826","34","80.104192481","18.4","73","2233","12"
"134","SF","PULO","CR","CR3","1","3","1","43","184.769278549705","-254.5398942","826","34","80.104192481","18.4","73","2233","12"
"135","SF","PULO","CR","CR3","1","4","1","44","184.769278549705","-254.5398942","826","34","80.104192481","18.4","73","2233","12"
"136","SF","PULO","CR","CR3","1","5","1","39","184.769278549705","-254.5398942","826","34","80.104192481","18.4","73","2233","12"
"137","SF","PULO","CR","CR4","1","1","1","29","184.769278549705","-254.5398942","826","34","80.104192481","18.4","73","2233","12"
"138","SF","PULO","CR","CR4","1","2","1","18","184.769278549705","-254.5398942","826","34","80.104192481","18.4","73","2233","12"
"139","SF","PULO","CR","CR4","1","3","4","29","184.769278549705","-254.5398942","826","34","80.104192481","18.4","73","2233","12"
"140","SF","PULO","CR","CR4","1","4","1","38","184.769278549705","-254.5398942","826","34","80.104192481","18.4","73","2233","12"
"141","SF","PULO","CR","CR4","1","5","1","47","184.769278549705","-254.5398942","826","34","80.104192481","18.4","73","2233","12"
"142","SF","KLMT","CY","CY6","1","1","1","39","172.191759125442","-101.5271201","521","-75","175.704192481","26.3","67","2006","12"
"143","SF","KLMT","CY","CY6","1","2","1","40","172.191759125442","-101.5271201","521","-75","175.704192481","26.3","67","2006","12"
"144","SF","KLMT","CY","CY6","1","3","1","44","172.191759125442","-101.5271201","521","-75","175.704192481","26.3","67","2006","12"
"145","SF","KLMT","CY","CY6","1","4","1","38","172.191759125442","-101.5271201","521","-75","175.704192481","26.3","67","2006","12"
"146","SF","KLMT","CY","CY6","1","5","1","18","172.191759125442","-101.5271201","521","-75","175.704192481","26.3","67","2006","12"
"147","SF","CSCD","DE","DE2","1","1","1","35",NA,NA,NA,NA,NA,NA,NA,NA,"12"
"148","SF","CSCD","DE","DE2","1","2","1","49",NA,NA,NA,NA,NA,NA,NA,NA,"12"
"149","SF","CSCD","DE","DE2","1","3","1","46",NA,NA,NA,NA,NA,NA,NA,NA,"12"
"150","SF","CSCD","DE","DE2","1","4","1","37",NA,NA,NA,NA,NA,NA,NA,NA,"12"
"151","SF","CSCD","DE","DE2","1","5","1","39",NA,NA,NA,NA,NA,NA,NA,NA,"12"
"152","SF","CSCD","DE","DE4","1","1","1","49","120.761737333063","440.4384496","1618","97","60.904192481","9.5","187","3105","12"
"153","SF","CSCD","DE","DE4","1","2","1","32","120.761737333063","440.4384496","1618","97","60.904192481","9.5","187","3105","12"
"154","SF","CSCD","DE","DE4","1","3","1","29","120.761737333063","440.4384496","1618","97","60.904192481","9.5","187","3105","12"
"155","SF","CSCD","DE","DE4","1","4","1","42","120.761737333063","440.4384496","1618","97","60.904192481","9.5","187","3105","12"
"156","SF","CSCD","DE","DE4","1","5","1","38","120.761737333063","440.4384496","1618","97","60.904192481","9.5","187","3105","12"
"157","SF","CSCD","DE","DE5","1","1","1","26","120.693839095986","407.3309554","1619","97","61.204192481","9.6","186","3090","12"
"158","SF","CSCD","DE","DE5","1","2","1","38","120.693839095986","407.3309554","1619","97","61.204192481","9.6","186","3090","12"
"159","SF","CSCD","DE","DE5","1","3","1","38","120.693839095986","407.3309554","1619","97","61.204192481","9.6","186","3090","12"
"160","SF","CSCD","DE","DE5","1","4","1","52","120.693839095986","407.3309554","1619","97","61.204192481","9.6","186","3090","12"
"161","SF","CSCD","DE","DE5","1","5","1","19","120.693839095986","407.3309554","1619","97","61.204192481","9.6","186","3090","12"
"162","SF","CSCD","DE","DE6","1","1","1","37","120.678953530257","390.2909009","1620","97","61.604192481","9.6","184","3069","12"
"163","SF","CSCD","DE","DE6","1","2","1","9","120.678953530257","390.2909009","1620","97","61.604192481","9.6","184","3069","12"
"164","SF","CSCD","DE","DE6","1","3","1","42","120.678953530257","390.2909009","1620","97","61.604192481","9.6","184","3069","12"
"165","SF","CSCD","DE","DE6","1","4","1","35","120.678953530257","390.2909009","1620","97","61.604192481","9.6","184","3069","12"
"166","SF","CSCD","DE","DE6","1","5","1","47","120.678953530257","390.2909009","1620","97","61.604192481","9.6","184","3069","12"
"167","SF","PULO","FB","FB3","1","1","1","26","451.919740319019","-356.044468018","382","-26","101.404192481","29.3","73","2382","12"
"168","SF","PULO","FB","FB3","1","2","1","28","451.919740319019","-356.044468018","382","-26","101.404192481","29.3","73","2382","12"
"169","SF","PULO","FB","FB3","1","3","1","46","451.919740319019","-356.044468018","382","-26","101.404192481","29.3","73","2382","12"
"170","SF","PULO","FB","FB3","1","4","1","21","451.919740319019","-356.044468018","382","-26","101.404192481","29.3","73","2382","12"
"171","SF","PULO","FB","FB3","1","5","1","25","451.919740319019","-356.044468018","382","-26","101.404192481","29.3","73","2382","12"
"172","SF","PULO","FB","FB9","1","1","1","32","453.482826181375","-351.18233249","389","-26","101.504192481","28.9","74","2394","12"
"173","SF","PULO","FB","FB9","1","2","1","37","453.482826181375","-351.18233249","389","-26","101.504192481","28.9","74","2394","12"
"174","SF","PULO","FB","FB9","1","3","1","42","453.482826181375","-351.18233249","389","-26","101.504192481","28.9","74","2394","12"
"175","SF","PULO","FB","FB9","1","4","1","31","453.482826181375","-351.18233249","389","-26","101.504192481","28.9","74","2394","12"
"176","SF","PULO","FB","FB9","1","5","1","44","453.482826181375","-351.18233249","389","-26","101.504192481","28.9","74","2394","12"
"177","SF","PULO","FW","FW10","1","1","1","55","327.588078504471","-257.3859722","714","0","94.604192481","20.4","73","2241","12"
"178","SF","PULO","FW","FW10","1","2","1","25","327.588078504471","-257.3859722","714","0","94.604192481","20.4","73","2241","12"
"179","SF","PULO","FW","FW10","1","3","1","32","327.588078504471","-257.3859722","714","0","94.604192481","20.4","73","2241","12"
"180","SF","PULO","FW","FW10","1","4","1","40","327.588078504471","-257.3859722","714","0","94.604192481","20.4","73","2241","12"
"181","SF","PULO","FW","FW10","1","5","1","36","327.588078504471","-257.3859722","714","0","94.604192481","20.4","73","2241","12"
"182","SF","PULO","FW","FW3","1","1","1","42","327.567536715214","-260.5966022","714","0","94.604192481","20.4","72","2240","12"
"183","SF","PULO","FW","FW3","1","2","1","17","327.567536715214","-260.5966022","714","0","94.604192481","20.4","72","2240","12"
"184","SF","PULO","FW","FW3","1","3","1","32","327.567536715214","-260.5966022","714","0","94.604192481","20.4","72","2240","12"
"185","SF","PULO","FW","FW3","1","4","1","36","327.567536715214","-260.5966022","714","0","94.604192481","20.4","72","2240","12"
"186","SF","PULO","FW","FW3","1","5","1","31","327.567536715214","-260.5966022","714","0","94.604192481","20.4","72","2240","12"
"187","SF","CORA","GA","GA1","1","1","1","26","485.830575596706","-201.2166382","1167","-114","259.004192481","15.8","34","1546","12"
"188","SF","CORA","GA","GA1","1","2","1","43","485.830575596706","-201.2166382","1167","-114","259.004192481","15.8","34","1546","12"
"189","SF","CORA","GA","GA1","1","3","1","43","485.830575596706","-201.2166382","1167","-114","259.004192481","15.8","34","1546","12"
"190","SF","CORA","GA","GA1","1","4","1","37","485.830575596706","-201.2166382","1167","-114","259.004192481","15.8","34","1546","12"
"191","SF","CORA","GA","GA1","1","5","1","50","485.830575596706","-201.2166382","1167","-114","259.004192481","15.8","34","1546","12"
"192","SF","CORA","GA","GA2","1","1","1","40","486.001221875719","-108.8969638","1235","-103","228.104192481","15","35","1561","12"
"193","SF","CORA","GA","GA2","1","2","1","39","486.001221875719","-108.8969638","1235","-103","228.104192481","15","35","1561","12"
"194","SF","CORA","GA","GA2","1","3","1","30","486.001221875719","-108.8969638","1235","-103","228.104192481","15","35","1561","12"
"195","SF","CORA","GA","GA2","1","4","1","31","486.001221875719","-108.8969638","1235","-103","228.104192481","15","35","1561","12"
"196","SF","CORA","GA","GA2","1","5","1","25","486.001221875719","-108.8969638","1235","-103","228.104192481","15","35","1561","12"
"197","SF","CORA","GA","GA3","1","1","1","40","485.846565226749","-86.744403","1231","-104","229.504192481","15.1","35","1558","12"
"198","SF","CORA","GA","GA3","1","2","1","9","485.846565226749","-86.744403","1231","-104","229.504192481","15.1","35","1558","12"
"199","SF","CORA","GA","GA3","1","3","1","19","485.846565226749","-86.744403","1231","-104","229.504192481","15.1","35","1558","12"
"200","SF","CORA","GA","GA3","1","4","1","30","485.846565226749","-86.744403","1231","-104","229.504192481","15.1","35","1558","12"
"201","SF","CORA","GA","GA3","1","5","1","40","485.846565226749","-86.744403","1231","-104","229.504192481","15.1","35","1558","12"
"202","SF","KLMT","GP","GP1","1","1","1","50","220.322408366504","76.4981403","504","-104","240.604192481","26.7","78","2082","12"
"203","SF","KLMT","GP","GP1","1","2","1","41","220.322408366504","76.4981403","504","-104","240.604192481","26.7","78","2082","12"
"204","SF","KLMT","GP","GP1","1","3","1","30","220.322408366504","76.4981403","504","-104","240.604192481","26.7","78","2082","12"
"205","SF","KLMT","GP","GP1","1","4","1","32","220.322408366504","76.4981403","504","-104","240.604192481","26.7","78","2082","12"
"206","SF","KLMT","GP","GP1","1","5","1","26","220.322408366504","76.4981403","504","-104","240.604192481","26.7","78","2082","12"
"207","SF","KLMT","GP","GP2","1","1","1","49","220.354283365032","68.0337009","501","-105","243.904192481","26.9","77","2064","12"
"208","SF","KLMT","GP","GP2","1","2","1","53","220.354283365032","68.0337009","501","-105","243.904192481","26.9","77","2064","12"
"209","SF","KLMT","GP","GP2","1","3","1","14","220.354283365032","68.0337009","501","-105","243.904192481","26.9","77","2064","12"
"210","SF","KLMT","GP","GP2","1","4","1","26","220.354283365032","68.0337009","501","-105","243.904192481","26.9","77","2064","12"
"211","SF","KLMT","GP","GP2","1","5","1","31","220.354283365032","68.0337009","501","-105","243.904192481","26.9","77","2064","12"
"212","SF","KLMT","HC","HC1","1","1","1","48","463.237401008845","40.2668277","1196","-90","202.204192481","15.5","34","1550","12"
"213","SF","KLMT","HC","HC1","1","2","1","31","463.237401008845","40.2668277","1196","-90","202.204192481","15.5","34","1550","12"
"214","SF","KLMT","HC","HC1","1","3","1","39","463.237401008845","40.2668277","1196","-90","202.204192481","15.5","34","1550","12"
"215","SF","KLMT","HC","HC1","1","4","1","34","463.237401008845","40.2668277","1196","-90","202.204192481","15.5","34","1550","12"
"216","SF","KLMT","HC","HC1","1","5","1","30","463.237401008845","40.2668277","1196","-90","202.204192481","15.5","34","1550","12"
"217","SF","KLMT","HC","HC2","1","1","1","38","463.216881424549","44.2300777","1196","-90","202.104192481","15.5","34","1550","12"
"218","SF","KLMT","HC","HC2","1","2","1","53","463.216881424549","44.2300777","1196","-90","202.104192481","15.5","34","1550","12"
"219","SF","KLMT","HC","HC2","1","3","1","34","463.216881424549","44.2300777","1196","-90","202.104192481","15.5","34","1550","12"
"220","SF","KLMT","HC","HC2","1","4","1","60","463.216881424549","44.2300777","1196","-90","202.104192481","15.5","34","1550","12"
"221","SF","KLMT","HC","HC2","1","5","1","29","463.216881424549","44.2300777","1196","-90","202.104192481","15.5","34","1550","12"
"222","SF","CSCO","HP","HP1","1","1","1","46","606.984701430371","-55.5615504","697","-144","469.904192481","24.6","28","1240","12"
"223","SF","CSCO","HP","HP1","1","2","1","52","606.984701430371","-55.5615504","697","-144","469.904192481","24.6","28","1240","12"
"224","SF","CSCO","HP","HP1","1","3","1","25","606.984701430371","-55.5615504","697","-144","469.904192481","24.6","28","1240","12"
